,year,real_winner,real_loser,nfc_rating,nfc_winner,afc_rating,afc_winner
0,2019,tbd,tbd,95.0,Eagles,94.0,Patriots
1,2018,Eagles,Patriots,91.0,Falcons,92.0,Patriots
2,2017,Patriots,Falcons,87.0,Panthers,87.0,Patriots
3,2016,Broncos,Panthers,91.0,Seahawks,91.0,Patriots
4,2015,Patriots,Seahawks,91.0,Seahawks,90.0,Broncos
5,2014,Seahawks,Broncos,91.0,49ers,89.0,Broncos
6,2013,Ravens,49ers,91.0,Packers,91.0,Patriots
7,2012,Giants,Patriots,92.0,Packers,90.0,Steelers
8,2011,Packers,Steelers,92.0,Saints,91.0,Colts
9,2010,Saints,Colts,89.0,Giants,93.0,Patriots
10,2009,Steelers,Cardinals,96.0,Cowboys,97.0,Patriots
11,2008,Giants,Patriots,91.0,Bears,97.0,Patriots
12,2007,Colts,Bears,96.0,Seahawks,97.0,Colts
13,2006,Steelers,Seahawks,96.0,Eagles,97.0,Patriots
14,2005,Patriots,Eagles,95.0,Eagles,99.0,Patriots
15,2004,Patriots,Panthers,88.0,Buccaneers,88.0,Dolphins
16,2003,Buccaneers,Raiders,94.0,Rams,88.0,Steelers
17,2002,Patriots,Rams,92.0,Buccaneers,99.0,Ravens
18,2001,Ravens,Giants,95.0,Rams,95.0,Jaguars
19,2000,Rams,Titans,94.0,Packers,93.0,Broncos
